Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM3290090,0.0652085505208267,0,0.0337069949839983,0.0291582453277185,0,0.117703324736275,0.0195744534644732,0,0,0,0.0390032762328311,0,0.00183545399854941,0.113498081671918,0.0153599219175844,0.160422162487252,0,0.0165818251645618,0.18397088317463,0,0.0068364624595482,0.197140363859833,0,0.389944452250793,0.920797092323685
GSM3290091,0.0908966856825476,0,0.0549558923068849,0.0276259685978177,0,0.161203486851062,0,0,0,0,0.0275781353846479,0,0.00716995412622039,0.0590262392833619,0,0.167117664577163,0,0.0714258851827304,0.214816701796531,0,0,0.118183386211033,0,0.363599905973878,0.931273665657092
GSM3290092,0.0824994531589691,0,0.0496596340679784,0.0157840342183499,0,0.133350654112709,0.0169940481681402,0,0,0,0.0485948803149177,0,0.0409343793463363,0.0852700375003575,0.013966918526363,0.308020774127826,0,0.00367950261912462,0.0971302004653189,0,0,0.10411548337361,0,0.410357928203113,0.911162646590905
GSM3290093,0.08498194734945,0,0.0421608450048006,0.0256314826967199,0,0.134314245555661,0,0,0,0,0.035825622771981,0,0.0461994173723046,0.106962473610041,0.00513183290084186,0.230546645560423,0,0.0274948063465719,0.154386232472095,0,0.00287967993505002,0.10348476842406,0,0.350954254776059,0.936913667443885
GSM3290094,0.0821248798212187,0,0.0286247243175321,0.0242504452265193,0,0.127410654867591,0,0,0,0,0.019261244592743,0,0,0.0996060568849762,0.00672357777888206,0.235546926429654,0,0.0583563486040081,0.187835366647419,0,0,0.130259774829456,0,0.34760767454074,0.938873421778494
GSM3290095,0.179753362672854,0,0.0500837691075034,0.0220210568864314,0,0.181820194384787,0.00254785077382855,0,0,0.0381525200036107,0.00833354532352979,0,0.0184083281157001,0.00992476207807387,0,0.121259110932151,0,0.0736119183539468,0.193514233349515,0,0.01605488573483,0.0845144622832386,0,0.368377563406498,0.929472421795227
GSM3290096,0.102015036249114,0,0.0870124120604257,0.0304060361005787,0,0.200175387301037,0,0,0,0,0.0209634990412895,0,0.00848739065136778,0.098191073313657,0.0271861170385291,0.135040882832707,0,0.0575422095891664,0.207551853744405,0,0.0118967889730331,0.0135313131046896,0,0.435233564052872,0.900596530485
GSM3290097,0.0745054629064134,0,0.0468717239056567,0.039630856669928,0,0.185318515985973,0,0,0,0,0.0270991221078617,0.00121641691141736,0.0138034257789533,0.0824348496371243,0,0.0957650185936541,0,0.127403599933938,0.158326944544655,0,0.0256870659543539,0.121936997070071,0,0.284656144031718,0.96350203074455
GSM3290098,0.089513115433739,0,0.0305450390088425,0.0151653390565514,0,0.0814648699976111,0,0,0,0,0.0244293140156703,0,0.0465087038724931,0.143858411070092,0,0.0771869013503475,0,0.221166901881089,0.0499469706933886,0,0,0.220214433620176,0,0.461747262068987,0.886400823655612
GSM3290099,0.0978694412016733,0,0.0393702794086799,0.153696988851094,0,0.0944185254921004,0.00381681603151745,0,0,0,0.0999600870614169,0,0.0242177418579619,0.0617985700637393,0.0452584444005848,0.145613811770876,0,0.0466207519298445,0.131436953517895,0,0.00177551594470168,0.054146072467915,0,0.438988057089043,0.898840333577022
